image,label
4000.l.png,l
4000.r.png,r
4001.l.png,l
4001.r.png,r
4002.l.png,l
4002.r.png,r
4003.l.png,l
4003.r.png,r
4004.r.png,r
4005.l.png,l
4005.r.png,r
4006.l.png,l
4006.r.png,r
4007.l.png,l
4007.r.png,r
4008.r.png,r
4009.l.png,l
4009.r.png,r
4010.r.png,r
4011.l.png,l
4011.r.png,r
4012.l.png,l
4013.l.png,l
4014.l.png,l
4014.r.png,r
4015.l.png,l
4015.r.png,r
4016.l.png,l
4016.r.png,r
4017.l.png,l
4017.r.png,r
4018.l.png,l
4019.l.png,l
4020.l.png,l
4020.r.png,r
4021.l.png,l
4021.r.png,r
4022.l.png,l
4022.r.png,r
4023.l.png,l
4023.r.png,r
4024.l.png,l
4025.l.png,l
4025.r.png,r
4026.r.png,r
4027.l.png,l
4027.r.png,r
4028.l.png,l
4028.r.png,r
4029.l.png,l
4029.r.png,r
4030.l.png,l
4030.r.png,r
4031.l.png,l
4032.l.png,l
4032.r.png,r
4033.l.png,l
4033.r.png,r
4034.l.png,l
4035.l.png,l
4035.r.png,r
4036.l.png,l
4036.r.png,r
4037.r.png,r
4038.l.png,l
4038.r.png,r
4039.l.png,l
4039.r.png,r
4040.l.png,l
4040.r.png,r
4041.l.png,l
4041.r.png,r
4042.r.png,r
4043.l.png,l
4043.r.png,r
4044.l.png,l
4044.r.png,r
4045.l.png,l
4046.l.png,l
4046.r.png,r
4047.l.png,l
4047.r.png,r
4048.l.png,l
4049.l.png,l
4049.r.png,r
4050.l.png,l
4050.r.png,r
4051.l.png,l
4051.r.png,r
4052.l.png,l
4052.r.png,r
4053.l.png,l
4053.r.png,r
4054.r.png,r
4055.l.png,l
4055.r.png,r
4056.l.png,l
4056.r.png,r
4057.l.png,l
4057.r.png,r
4058.l.png,l
4058.r.png,r
4059.l.png,l
4059.r.png,r
4060.l.png,l
4060.r.png,r
4061.r.png,r
4062.l.png,l
4062.r.png,r
4063.r.png,r
4064.l.png,l
4064.r.png,r
4065.r.png,r
4066.l.png,l
4066.r.png,r
4067.l.png,l
4067.r.png,r
4068.l.png,l
4068.r.png,r
4069.l.png,l
4069.r.png,r
4070.r.png,r
4071.l.png,l
4071.r.png,r
4072.l.png,l
4072.r.png,r
4073.l.png,l
4073.r.png,r
4074.l.png,l
4074.r.png,r
4075.l.png,l
4076.l.png,l
4076.r.png,r
4077.l.png,l
4077.r.png,r
4078.l.png,l
4078.r.png,r
4079.l.png,l
4079.r.png,r
4080.r.png,r
4081.l.png,l
4082.l.png,l
4082.r.png,r
4083.l.png,l
4083.r.png,r
4084.l.png,l
4084.r.png,r
4085.l.png,l
4085.r.png,r
4086.l.png,l
4086.r.png,r
4087.l.png,l
4087.r.png,r
4088.l.png,l
4088.r.png,r
4089.l.png,l
4089.r.png,r
4090.l.png,l
4090.r.png,r
4091.l.png,l
4091.r.png,r
4092.r.png,r
4093.l.png,l
4093.r.png,r
4094.l.png,l
4094.r.png,r
4095.l.png,l
4095.r.png,r
4096.l.png,l
4096.r.png,r
4097.l.png,l
4097.r.png,r
4098.l.png,l
4098.r.png,r
4099.l.png,l
4099.r.png,r
4100.l.png,l
4100.r.png,r
4101.l.png,l
4101.r.png,r
4102.l.png,l
4102.r.png,r
4103.l.png,l
4103.r.png,r
4104.l.png,l
4104.r.png,r
4105.l.png,l
4106.l.png,l
4106.r.png,r
4107.r.png,r
4108.l.png,l
4108.r.png,r
4109.r.png,r
